level_0,index,team,code,name,surname,laps,time,grand_prix,date,year
0,A,Ferrari,ALO,Fernando,Alonso,49,39:20.4,                         Bahrain                     ,14-Mar-10,2010
1,B,McLaren Mercedes,BUT,Jenson,Button,58,33:36.5,                         Australia                     ,28-Mar-10,2010
2,C,RBR Renault,VET,Sebastian,Vettel,56,33:48.4,                         Malaysia                     ,04-Apr-10,2010
3,D,McLaren Mercedes,BUT,Jenson,Button,56,46:42.2,                         China                     ,18-Apr-10,2010
4,E,RBR Renault,WEB,Mark,Webber,66,35:44.1,                         Spain                     ,09-May-10,2010
5,F,RBR Renault,WEB,Mark,Webber,78,50:13.4,                         Monaco                     ,16-May-10,2010
6,G,McLaren Mercedes,HAM,Lewis,Hamilton,58,28:47.6,                         Turkey                     ,30-May-10,2010
7,H,McLaren Mercedes,HAM,Lewis,Hamilton,70,33:53.5,                         Canada                     ,13-Jun-10,2010
8,J,RBR Renault,VET,Sebastian,Vettel,57,40:29.6,                         Europe                     ,27-Jun-10,2010
9,K,RBR Renault,WEB,Mark,Webber,52,24:38.2,                         Great Britain                     ,11-Jul-10,2010
10,L,Ferrari,ALO,Fernando,Alonso,67,27:38.9,                         Germany                     ,25-Jul-10,2010
11,I,RBR Renault,WEB,Mark,Webber,70,41:05.6,                         Hungary                     ,01-Aug-10,2010
12,M,McLaren Mercedes,HAM,Lewis,Hamilton,44,29:04.3,                         Belgium                     ,29-Aug-10,2010
13,P,Ferrari,ALO,Fernando,Alonso,53,16:24.6,                         Italy                     ,12-Sep-10,2010
14,R,Ferrari,ALO,Fernando,Alonso,61,57:53.6,                         Singapore                     ,26-Sep-10,2010
15,S,RBR Renault,VET,Sebastian,Vettel,53,30:27.3,                         Japan                     ,10-Oct-10,2010
16,V,Ferrari,ALO,Fernando,Alonso,55,48:20.8,                         South Korea                     ,24-Oct-10,2010
17,X,RBR Renault,VET,Sebastian,Vettel,71,33:11.8,                         Brazil                     ,07-Nov-10,2010
18,Q,RBR Renault,VET,Sebastian,Vettel,55,39:36.8,                         Abu Dhabi                     ,14-Nov-10,2010
0,A,Red Bull Racing Renault,VET,Sebastian,Vettel,58,29:30.3,                         Australia                     ,27-Mar-11,2011
1,B,Red Bull Racing Renault,VET,Sebastian,Vettel,56,37:39.8,                         Malaysia                     ,10-Apr-11,2011
2,C,McLaren Mercedes,HAM,Lewis,Hamilton,56,36:58.2,                         China                     ,17-Apr-11,2011
3,D,Red Bull Racing Renault,VET,Sebastian,Vettel,58,30:17.6,                         Turkey                     ,08-May-11,2011
4,E,Red Bull Racing Renault,VET,Sebastian,Vettel,66,39:03.3,                         Spain                     ,22-May-11,2011
5,F,Red Bull Racing Renault,VET,Sebastian,Vettel,78,09:38.4,                         Monaco                     ,29-May-11,2011
6,G,McLaren Mercedes,BUT,Jenson,Button,70,04:39.5,                         Canada                     ,12-Jun-11,2011
7,H,Red Bull Racing Renault,VET,Sebastian,Vettel,57,39:36.2,                         Europe                     ,26-Jun-11,2011
8,J,Ferrari,ALO,Fernando,Alonso,52,28:41.2,                         Great Britain                     ,10-Jul-11,2011
9,K,McLaren Mercedes,HAM,Lewis,Hamilton,60,37:30.3,                         Germany                     ,24-Jul-11,2011
10,L,McLaren Mercedes,BUT,Jenson,Button,70,46:42.3,                         Hungary                     ,31-Jul-11,2011
11,I,Red Bull Racing Renault,VET,Sebastian,Vettel,44,26:44.9,                         Belgium                     ,28-Aug-11,2011
12,M,Red Bull Racing Renault,VET,Sebastian,Vettel,53,20:46.2,                         Italy                     ,11-Sep-11,2011
13,P,Red Bull Racing Renault,VET,Sebastian,Vettel,61,59:06.8,                         Singapore                     ,25-Sep-11,2011
14,R,McLaren Mercedes,BUT,Jenson,Button,53,30:53.4,                         Japan                     ,09-Oct-11,2011
15,S,Red Bull Racing Renault,VET,Sebastian,Vettel,55,38:02.0,                         South Korea                     ,16-Oct-11,2011
16,V,Red Bull Racing Renault,VET,Sebastian,Vettel,60,30:35.0,                         India                     ,30-Oct-11,2011
17,X,McLaren Mercedes,HAM,Lewis,Hamilton,55,37:11.9,                         Abu Dhabi                     ,13-Nov-11,2011
18,Q,Red Bull Racing Renault,WEB,Mark,Webber,71,32:17.5,                         Brazil                     ,27-Nov-11,2011
0,A,McLaren Mercedes,BUT,Jenson,Button,58,34:09.6,                         Australia                     ,18-Mar-12,2012
1,B,Ferrari,ALO,Fernando,Alonso,56,44:51.8,                         Malaysia                     ,25-Mar-12,2012
2,C,Mercedes,ROS,Nico,Rosberg,56,36:26.9,                         China                     ,15-Apr-12,2012
3,D,Red Bull Racing Renault,VET,Sebastian,Vettel,57,35:11.0,                         Bahrain                     ,22-Apr-12,2012
4,E,Williams Renault,MAL,Pastor,Maldonado,66,39:09.1,                         Spain                     ,13-May-12,2012
5,F,Red Bull Racing Renault,WEB,Mark,Webber,78,46:06.6,                         Monaco                     ,27-May-12,2012
6,G,McLaren Mercedes,HAM,Lewis,Hamilton,70,32:29.6,                         Canada                     ,10-Jun-12,2012
7,H,Ferrari,ALO,Fernando,Alonso,57,44:16.6,                         Europe                     ,24-Jun-12,2012
8,J,Red Bull Racing Renault,WEB,Mark,Webber,52,25:11.3,                         Great Britain                     ,08-Jul-12,2012
9,K,Ferrari,ALO,Fernando,Alonso,67,31:05.9,                         Germany                     ,22-Jul-12,2012
10,L,McLaren Mercedes,HAM,Lewis,Hamilton,69,41:05.5,                         Hungary                     ,29-Jul-12,2012
11,I,McLaren Mercedes,BUT,Jenson,Button,44,29:08.5,                         Belgium                     ,02-Sep-12,2012
12,M,McLaren Mercedes,HAM,Lewis,Hamilton,53,19:41.2,                         Italy                     ,09-Sep-12,2012
13,P,Red Bull Racing Renault,VET,Sebastian,Vettel,59,00:26.1,                         Singapore                     ,23-Sep-12,2012
14,R,Red Bull Racing Renault,VET,Sebastian,Vettel,53,28:56.2,                         Japan                     ,07-Oct-12,2012
15,S,Red Bull Racing Renault,VET,Sebastian,Vettel,55,36:28.7,                         South Korea                     ,14-Oct-12,2012
16,V,Red Bull Racing Renault,VET,Sebastian,Vettel,60,31:10.7,                         India                     ,28-Oct-12,2012
17,X,Lotus Renault,RAI,Kimi,Räikkönen,55,45:58.7,                         Abu Dhabi                     ,04-Nov-12,2012
18,Q,McLaren Mercedes,HAM,Lewis,Hamilton,56,35:55.3,                         United States                       ,18-Nov-12,2012
19,Z,McLaren Mercedes,BUT,Jenson,Button,71,45:22.7,                         Brazil                     ,25-Nov-12,2012
0,A,Lotus Renault,RAI,Kimi,Räikkönen,58,30:03.2,                         Australia                     ,17-Mar-13,2013
1,B,Red Bull Racing Renault,VET,Sebastian,Vettel,56,38:56.7,                         Malaysia                     ,24-Mar-13,2013
2,C,Ferrari,ALO,Fernando,Alonso,56,36:26.9,                         China                     ,14-Apr-13,2013
3,D,Red Bull Racing Renault,VET,Sebastian,Vettel,57,36:00.5,                         Bahrain                     ,21-Apr-13,2013
4,E,Ferrari,ALO,Fernando,Alonso,66,39:16.6,                         Spain                     ,12-May-13,2013
5,F,Mercedes,ROS,Nico,Rosberg,78,17:52.1,                         Monaco                     ,26-May-13,2013
6,G,Red Bull Racing Renault,VET,Sebastian,Vettel,70,32:09.1,                         Canada                     ,09-Jun-13,2013
7,H,Mercedes,ROS,Nico,Rosberg,52,32:59.5,                         Great Britain                     ,30-Jun-13,2013
8,J,Red Bull Racing Renault,VET,Sebastian,Vettel,60,41:14.7,                         Germany                     ,07-Jul-13,2013
9,K,Mercedes,HAM,Lewis,Hamilton,70,42:29.4,                         Hungary                     ,28-Jul-13,2013
10,L,Red Bull Racing Renault,VET,Sebastian,Vettel,44,23:42.2,                         Belgium                     ,25-Aug-13,2013
11,I,Red Bull Racing Renault,VET,Sebastian,Vettel,53,18:33.4,                         Italy                     ,08-Sep-13,2013
12,M,Red Bull Racing Renault,VET,Sebastian,Vettel,61,59:13.1,                         Singapore                     ,22-Sep-13,2013
13,P,Red Bull Racing Renault,VET,Sebastian,Vettel,55,43:13.7,                         South Korea                     ,06-Oct-13,2013
14,R,Red Bull Racing Renault,VET,Sebastian,Vettel,53,26:49.3,                         Japan                     ,13-Oct-13,2013
